frame,bat_id,x,y
66,1,0.202966,1.186428
67,1,0.133313,1.049049
68,1,0.089426,0.969539
69,1,0.042808,0.881344
70,1,-0.020252,0.812786
71,1,-0.077664,0.745402
72,1,-0.13526,0.677473
73,1,-0.2089,0.599118
74,1,-0.286842,0.531207
75,1,-0.348874,0.4891
76,1,-0.427622,0.439134
77,1,-0.498839,0.38167
78,1,-0.546714,0.338104
79,1,-0.62767,0.290842
80,1,-0.69207,0.236869
81,1,-0.77674,0.165308
82,1,-0.840804,0.114014
83,1,-0.932397,0.043135
84,1,-1.061468,-0.020659
85,1,-1.151692,-0.074327
86,1,-1.234644,-0.143801
87,1,-1.314577,-0.211813
88,1,-1.378921,-0.274359
89,1,-1.468932,-0.353007
90,1,-1.548296,-0.432389
91,1,-1.636176,-0.516091
92,1,-1.713096,-0.586404
93,1,-1.782717,-0.661766
94,1,-1.853961,-0.745045
95,1,-1.926902,-0.825136
96,1,-1.995371,-0.914501
97,1,-2.073011,-1.012349
98,1,-2.166992,-1.121119
99,1,-2.228049,-1.202072
100,1,-2.271657,-1.232985
101,1,-2.332494,-1.338876
102,1,-2.40124,-1.452145
77,2,0.440282,0.673358
78,2,0.373676,0.563859
79,2,0.36091,0.475015
80,2,0.353831,0.41381
81,2,0.336168,0.35661
82,2,0.307438,0.286854
83,2,0.276962,0.222854
84,2,0.242263,0.157329
85,2,0.215289,0.09422
86,2,0.194439,0.041693
87,2,0.166626,-0.018714
88,2,0.137009,-0.075833
89,2,0.106872,-0.124419
90,2,0.092446,-0.173951
91,2,0.07733,-0.243848
92,2,0.059952,-0.29848
93,2,0.040508,-0.353811
94,2,0.022163,-0.4141
95,2,0.014137,-0.484117
96,2,0.005381,-0.547856
97,2,0.003057,-0.626727
98,2,0.014893,-0.688941
99,2,0.013148,-0.757358
100,2,0.011141,-0.834068
101,2,0.000911,-0.919277
102,2,-0.012167,-0.996877
103,2,-0.019482,-1.07355
104,2,-0.018256,-1.16254
105,2,-0.021154,-1.251511
106,2,-0.018092,-1.332264
107,2,-0.012289,-1.424212
108,2,-0.00981,-1.514185
109,2,-0.012342,-1.610928
110,2,-0.012993,-1.714931
111,2,-0.015725,-1.821053
112,2,-0.019301,-1.917001
113,2,-0.027281,-2.02131
114,2,-0.043142,-2.115742
115,2,-0.060833,-2.214491
116,2,-0.085255,-2.311286
117,2,-0.104468,-2.417504
118,2,-0.110569,-2.524543
